Text,Particle,P n,P /100,MB n,MB /100,E n,E /100,P+E /100,Ratio PE:MB
"Gorg., Helen",ἤ,0,0.00,5,0.55,0,0.00,0.00,0.00
"Gorg., Helen",ἔτι,0,0.00,0,0.00,0,0.00,0.00,—
"Gorg., Helen",τοίνυν,0,0.00,0,0.00,0,0.00,0.00,—
"Gorg., Helen",καίτοι,0,0.00,0,0.00,0,0.00,0.00,—
"Gorg., Helen",ὥστε,0,0.00,2,0.22,0,0.00,0.00,0.00
"Gorg., Helen",ἔπειτα,0,0.00,0,0.00,0,0.00,0.00,—
"Gorg., Helen",χωρίς,0,0.00,0,0.00,0,0.00,0.00,—
"Gorg., Helen",ἄρα,0,0.00,0,0.00,0,0.00,0.00,—
"Gorg., Helen",δή,0,0.00,1,0.11,0,0.00,0.00,0.00
"Hipp., De arte",γάρ,1,0.81,37,1.48,0,0.00,0.51,0.35
"Hipp., De arte",μέν,4,3.23,47,1.88,1,1.41,2.56,1.36
"Hipp., De arte",δέ,4,3.23,72,2.88,0,0.00,2.05,0.71
"Hipp., De arte",οὖν,0,0.00,17,0.68,1,1.41,0.51,0.75
"Hipp., De arte",καί,4,3.23,98,3.92,2,2.82,3.08,0.79
"Hipp., De arte",τε,2,1.61,56,2.24,2,2.82,2.05,0.92
"Hipp., De arte",ἀλλά,2,1.61,19,0.76,1,1.41,1.54,2.03
"Hipp., De arte",ἤ,4,3.23,39,1.56,3,4.23,3.59,2.30
"Hipp., De arte",ἔτι,0,0.00,6,0.24,0,0.00,0.00,0.00
"Hipp., De arte",τοίνυν,0,0.00,4,0.16,0,0.00,0.00,0.00
"Hipp., De arte",καίτοι,0,0.00,2,0.08,0,0.00,0.00,0.00
"Hipp., De arte",ὥστε,0,0.00,5,0.20,0,0.00,0.00,0.00
"Hipp., De arte",ἔπειτα,0,0.00,1,0.04,0,0.00,0.00,0.00
"Hipp., De arte",χωρίς,0,0.00,0,0.00,0,0.00,0.00,—
"Hipp., De arte",ἄρα,0,0.00,0,0.00,0,0.00,0.00,—
"Hipp., De arte",δή,0,0.00,9,0.36,0,0.00,0.00,0.00
"Hipp., Flat.",γάρ,10,3.33,46,1.87,1,1.22,2.88,1.54
"Hipp., Flat.",μέν,8,2.67,45,1.83,1,1.22,2.36,1.29
